index,citationStyle,total,percentage,notWorkingIndex,notWorkingCitationStyle
594,health-economics-policy-and-law,633996,0.064,,
595,health-economics,633996,0.064,,
596,health-education-research,633996,0.064,,
597,health-policy-and-planning,633996,0.064,,
598,health-reform-observer-observatoire-des-reformes-de-sante,633996,0.064,,
599,health-services-research,633996,0.064,,
600,heart-failure-clinics,633996,0.064,,
601,heart-rhythm,633996,0.064,,
602,heidelberg-university-faculty-of-medicine,633996,0.064,,
603,hematology-oncology-clinics-of-north-america,633996,0.064,,
604,hepatology,633996,0.064,,
605,heredity,633996,0.064,,
606,herpetologica,633996,0.064,,
607,high-altitude-medicine-and-biology,633996,0.064,,
608,hiob-ludolf-centre-for-ethiopian-studies-long-names,633996,0.064,,
609,hiob-ludolf-centre-for-ethiopian-studies-with-url-doi,633996,0.064,,
610,hiob-ludolf-centre-for-ethiopian-studies,633996,0.064,,
611,hipertension-y-riesgo-vascular,633996,0.064,,
612,histopathology,633996,0.064,,
613,historical-social-research,633996,0.064,,
614,history-australia,633996,0.064,,
615,history-of-the-human-sciences,633996,0.064,,
616,hochschule-munchen-fakultat-fur-angewandte-sozialwissenschaften,633996,0.064,,
617,hochschule-pforzheim-fakultat-fur-wirtschaft-und-recht,633996,0.064,,
618,hong-kong-journal-of-radiology,633996,0.064,,
619,human-brain-mapping,633996,0.064,,
620,human-gene-therapy,633996,0.064,,
621,human-mutation,632800,0.064,,
622,human-reproduction-update,633996,0.064,,
623,human-reproduction,633996,0.064,,
624,human-resource-management-journal,633996,0.064,,
625,human-wildlife-interactions,633996,0.064,,
626,humboldt-state-university-environmental-resources-engineering,633996,0.064,,
627,hydrobiologia,633996,0.064,,
628,hydrological-processes,633996,0.064,,
629,hydrological-sciences-journal,633996,0.064,,
630,hypertension-research,633996,0.064,,
631,hypotheses-in-the-life-sciences,633996,0.064,,
632,ib-tauris-note,633996,0.064,,
633,ices-journal-of-marine-science,633996,0.064,,
634,idojaras-quarterly-journal-of-the-hungarian-meteorological-service,633996,0.064,,
635,ie-comunicaciones,633996,0.064,,
636,ieee-magnetics-letters,633996,0.064,,
637,ieee-transactions-on-medical-imaging,633996,0.064,,
638,ieee-with-url,633996,0.064,,
639,ieee,633996,0.064,,
640,iforest,633996,0.064,,
641,igaku-toshokan,633996,0.064,,
642,iica-catie,633996,0.064,,
643,immunological-reviews,633996,0.064,,
644,indian-dermatology-online-journal,633996,0.064,,
645,indian-journal-of-medical-research,633996,0.064,,
646,indian-journal-of-physics,633996,0.064,,
647,indian-journal-of-traditional-knowledge,633996,0.064,,
648,indiana,633996,0.064,,
649,indoor-air,633996,0.064,,
650,infectio,633996,0.064,,
651,infectious-disease-clinics-of-north-america,633996,0.064,,
652,inflammatory-bowel-diseases,633996,0.064,,
653,influenza-and-other-respiratory-viruses,633996,0.064,,
654,information-systems-journal,633996,0.064,,
655,ingenieria-agricola,633996,0.064,,
656,institut-national-de-la-recherche-scientifique-sciences-sociales,633996,0.064,,
657,institut-national-de-sante-publique-du-quebec-napp,633996,0.064,,
658,institut-national-de-sante-publique-du-quebec-topo,633996,0.064,,
659,institut-teknologi-bandung-sekolah-pascasarjana,633996,0.064,,
660,institute-for-operations-research-and-the-management-sciences,633996,0.064,,
661,institute-of-mathematical-statistics,633996,0.064,,
662,institute-of-mathematics-and-its-applications,633996,0.064,,
663,institute-of-physics-harvard,633996,0.064,,
664,institute-of-physics-numeric,633996,0.064,,
665,instituto-de-pesquisas-tecnologicas,633996,0.064,,
666,instituto-superior-de-teologia-de-las-islas-canarias,633996,0.064,,
667,integrated-science-publishing-journals,633996,0.064,,
668,integrative-and-comparative-biology,633996,0.064,,
669,inter-research-science-center,633996,0.064,,
670,inter-ro,633996,0.064,,
671,interaction-design-and-architectures,633996,0.064,,
672,interdisziplinare-zeitschrift-fur-technologie-und-lernen,633996,0.064,,
673,international-atomic-energy-agency,633996,0.064,,
674,international-brazilian-journal-of-urology,633996,0.064,,
675,international-conference-on-information-systems-development,633996,0.064,,
676,international-development-policy,633996,0.064,,
677,international-energy-agency-organisation-for-economic-co-operation-and-development,633996,0.064,,
678,international-journal-for-numerical-methods-in-biomedical-engineering,633996,0.064,,
679,international-journal-of-audiology,633996,0.064,,
680,international-journal-of-cancer,633996,0.064,,
681,international-journal-of-circuit-theory-and-applications,633996,0.064,,
682,international-journal-of-climatology,633996,0.064,,
683,international-journal-of-electronic-commerce,633996,0.064,,
684,international-journal-of-epidemiology,633996,0.064,,
685,international-journal-of-exercise-science,633996,0.064,,
686,international-journal-of-geriatric-psychiatry,633996,0.064,,
687,international-journal-of-humanoid-robotics,633996,0.064,,
688,international-journal-of-language-and-communication-disorders,633996,0.064,,
689,international-journal-of-lexicography,633996,0.064,,
690,international-journal-of-management-reviews,633996,0.064,,
691,international-journal-of-nuclear-security,633996,0.064,,
692,international-journal-of-obstetric-anesthesia,633996,0.064,,
693,international-journal-of-occupational-medicine-and-environmental-health,633996,0.064,,
694,international-journal-of-oral-and-maxillofacial-surgery,633996,0.064,,
695,international-journal-of-plant-sciences,633996,0.064,,
696,international-journal-of-polymeric-materials-and-polymeric-biomaterials,632245,0.064,,
697,international-journal-of-quantum-chemistry,632245,0.064,,
698,international-journal-of-radiation-oncology-biology-physics,633996,0.064,,
699,international-journal-of-simulation-modelling,633996,0.064,,
700,international-journal-of-spatial-data-infrastructures-research,633519,0.064,,
701,international-journal-of-sports-medicine,633996,0.064,,
702,international-journal-of-urban-and-regional-research,633996,0.064,,
703,international-journal-of-wildland-fire,633996,0.064,,
704,international-labour-organization,633277,0.064,,
705,international-organization,633996,0.064,,
706,international-pig-veterinary-society-congress-proceedings,632243,0.064,,
707,international-studies-association,633996,0.064,,
708,international-union-of-crystallography,633996,0.064,,
709,invertebrate-biology,633996,0.064,,
710,investigative-radiology,633996,0.064,,
711,invisu,633996,0.064,,
712,ios-press-books,633996,0.064,,
713,iranian-journal-of-basic-medical-sciences,633996,0.064,,
714,iranian-journal-of-pharmaceutical-research,633996,0.064,,
715,isabella-stewart-gardner-museum,633996,0.064,,
716,isnad,633996,0.064,,
717,iso690-author-date-cs,633996,0.064,,
718,iso690-author-date-en,633996,0.064,,
719,iso690-author-date-es,633996,0.064,,
720,iso690-author-date-fr-no-abstract,633996,0.064,,
721,iso690-author-date-fr,633996,0.064,,
722,iso690-author-date-sk,633996,0.064,,
723,iso690-full-note-sk,567449,0.057,,
725,iso690-note-fr,633996,0.064,,
726,iso690-numeric-brackets-cs,633996,0.064,,
727,iso690-numeric-cs,633996,0.064,,
728,iso690-numeric-en,633996,0.064,,
729,iso690-numeric-fr,633996,0.064,,
730,iso690-numeric-lt,633996,0.064,,
731,iso690-numeric-sk,633996,0.064,,
732,israel-medical-association-journal,633996,0.064,,
733,italian-journal-of-agronomy,633996,0.064,,
734,ius-ecclesiae,633996,0.064,,
735,jacc-cardiovascular-imaging,633996,0.064,,
736,jacc-cardiovascular-interventions,633996,0.064,,
737,jahrbuch-der-osterreichischen-byzantinischen-gesellschaft,633519,0.064,,
738,jahrbuch-fur-evangelikale-theologie,633996,0.064,,
739,javnost-the-public,633996,0.064,,
740,journal-for-veterinary-medicine-biotechnology-and-biosafety,633996,0.064,,
741,journal-of-adolescent-health,633996,0.064,,
742,journal-of-aerosol-medicine-and-pulmonary-drug-delivery,633996,0.064,,
743,journal-of-agricultural-and-applied-economics,633996,0.064,,
744,journal-of-alzheimers-disease,633996,0.064,,
745,journal-of-analytical-toxicology,633996,0.064,,
746,journal-of-animal-physiology-and-animal-nutrition,633996,0.064,,
747,journal-of-animal-science,633996,0.064,,
748,journal-of-antimicrobial-chemotherapy,633996,0.064,,
749,journal-of-applied-animal-science,633996,0.064,,
750,journal-of-applied-clinical-medical-physics,633996,0.064,,
751,journal-of-applied-entomology,633996,0.064,,
752,journal-of-applied-pharmaceutical-research,633996,0.064,,
753,journal-of-applied-polymer-science,633996,0.064,,
754,journal-of-archaeological-research,633996,0.064,,
755,journal-of-atrial-fibrillation,633996,0.064,,
756,journal-of-australian-strength-and-conditioning,633288,0.064,,
757,journal-of-avian-biology,633996,0.064,,
758,journal-of-basic-microbiology,633996,0.064,,
759,journal-of-biogeography,633996,0.064,,
760,journal-of-biological-chemistry,633996,0.064,,
761,journal-of-biological-regulators-and-homeostatic-agents,633996,0.064,,
762,journal-of-biomedical-materials-research-part-a,633996,0.064,,
763,journal-of-bone-and-mineral-research,633996,0.064,,
764,journal-of-brachial-plexus-and-peripheral-nerve-injury,633996,0.064,,
765,journal-of-burn-care-and-research,633996,0.064,,
766,journal-of-business-logistics,633996,0.064,,
767,journal-of-cachexia-sarcopenia-and-muscle,633996,0.064,,
768,journal-of-cardiothoracic-and-vascular-anesthesia,633996,0.064,,
769,journal-of-cellular-and-molecular-medicine,633996,0.064,,
770,journal-of-cellular-biochemistry,633288,0.064,,
771,journal-of-chemistry-and-chemical-engineering,633996,0.064,,
772,journal-of-chemometrics,633996,0.064,,
773,journal-of-child-and-adolescent-psychopharmacology,633996,0.064,,
774,journal-of-clinical-neurophysiology,633996,0.064,,
775,journal-of-clinical-oncology,633996,0.064,,
776,journal-of-clinical-rheumatology,633996,0.064,,
777,journal-of-clinical-sleep-medicine,633996,0.064,,
778,journal-of-combinatorics,633996,0.064,,
779,journal-of-common-market-studies,633996,0.064,,
780,journal-of-comparative-pathology,633996,0.064,,
781,journal-of-computational-chemistry,633996,0.064,,
782,journal-of-computer-applications-in-archaeology,633996,0.064,,
783,journal-of-computer-information-systems,633996,0.064,,
784,journal-of-consumer-research,633996,0.064,,
785,journal-of-crohns-and-colitis-supplements,633996,0.064,,
786,journal-of-crohns-and-colitis,633996,0.064,,
787,journal-of-dairy-science,633996,0.064,,
788,journal-of-elections-public-opinion-and-parties,633996,0.064,,
789,journal-of-endodontics,633996,0.064,,
790,journal-of-environmental-science-and-health-part-b,633996,0.064,,
791,journal-of-european-public-policy,633996,0.064,,
792,journal-of-evolution-and-health,633996,0.064,,
793,journal-of-evolutionary-biology,633996,0.064,,
794,journal-of-experimental-botany,633996,0.064,,
795,journal-of-field-ornithology,633996,0.064,,
796,journal-of-finance,633996,0.064,,
797,journal-of-fish-biology,633996,0.064,,
798,journal-of-fish-diseases,633996,0.064,,
799,journal-of-food-protection,633996,0.064,,
800,journal-of-forensic-sciences,633996,0.064,,
801,journal-of-geriatric-psychiatry-and-neurology,633996,0.064,,
802,journal-of-glaciology,633996,0.064,,
803,journal-of-hearing-science,633996,0.064,,
804,journal-of-historical-linguistics,633996,0.064,,
805,journal-of-human-evolution,633996,0.064,,
806,journal-of-hypertension,633996,0.064,,
807,journal-of-industrial-and-engineering-chemistry,633996,0.064,,
808,journal-of-industrial-ecology,633996,0.064,,
809,journal-of-infection,633996,0.064,,
810,journal-of-infectious-diseases,633996,0.064,,
811,journal-of-information-technology,633996,0.064,,
812,journal-of-institutional-and-theoretical-economics,633996,0.064,,
813,journal-of-integrated-omics,633996,0.064,,
814,journal-of-interactive-marketing,633996,0.064,,
815,journal-of-internal-medicine,633996,0.064,,
816,journal-of-international-business-studies,633996,0.064,,
817,journal-of-international-economic-law,633996,0.064,,
818,journal-of-international-relations-and-development,633996,0.064,,
819,journal-of-investigative-dermatology,633996,0.064,,
820,journal-of-jewish-studies,633996,0.064,,
821,journal-of-korean-neurosurgical-society,633996,0.064,,
822,journal-of-limnology,633288,0.064,,
823,journal-of-linguistics,633996,0.064,,
824,journal-of-lipid-research,633996,0.064,,
825,journal-of-magnetic-resonance-imaging,633996,0.064,,
826,journal-of-mammalogy,633996,0.064,,
827,journal-of-management-information-systems,633996,0.064,,
828,journal-of-management-studies,633996,0.064,,
829,journal-of-management,633996,0.064,,
830,journal-of-materials-research,633996,0.064,,
831,journal-of-mechanical-science-and-technology,633996,0.064,,
832,journal-of-medical-genetics,633996,0.064,,
833,journal-of-medical-internet-research,633996,0.064,,
834,journal-of-minimally-invasive-gynecology,633996,0.064,,
835,journal-of-molecular-cell-biology,633996,0.064,,
836,journal-of-molecular-recognition,633996,0.064,,
837,journal-of-molecular-signaling,633996,0.064,,
838,journal-of-music-technology-and-education,633996,0.064,,
839,journal-of-nanoscience-and-nanotechnology,633988,0.064,,
840,journal-of-natural-history,633996,0.064,,
841,journal-of-neolithic-archaeology,633996,0.064,,
842,journal-of-neurochemistry,633996,0.064,,
843,journal-of-neurological-disorders,633996,0.064,,
844,journal-of-neurophysiology,633996,0.064,,
845,journal-of-neuroscience-and-neuroengineering,633988,0.064,,
846,journal-of-neurosurgery,633996,0.064,,
847,journal-of-neurotrauma,633996,0.064,,
848,journal-of-nutrition,633996,0.064,,
849,journal-of-oral-and-maxillofacial-surgery,633996,0.064,,
850,journal-of-orthopaedic-research,633996,0.064,,
851,journal-of-orthopaedic-trauma,633996,0.064,,
852,journal-of-orthopaedics-trauma-and-rehabilitation,633996,0.064,,
853,journal-of-paleontology,633996,0.064,,
854,journal-of-peace-research,633996,0.064,,
855,journal-of-peptide-science,633996,0.064,,
856,journal-of-perinatal-medicine,633996,0.064,,
857,journal-of-periodontal-research,633996,0.064,,
858,journal-of-petrology,633996,0.064,,
859,journal-of-pharmacy-and-pharmacology,633996,0.064,,
860,journal-of-phycology,633996,0.064,,
861,journal-of-physical-therapy-science,633996,0.064,,
862,journal-of-plant-ecology,633996,0.064,,
863,journal-of-plant-nutrition-and-soil-science,633996,0.064,,
864,journal-of-pollination-ecology,633996,0.064,,
865,journal-of-polymer-science-part-a-polymer-chemistry,632245,0.064,,
866,journal-of-porphyrins-and-phthalocyanines,633996,0.064,,
867,journal-of-product-innovation-management,633996,0.064,,
868,journal-of-psychiatric-and-mental-health-nursing,633996,0.064,,
869,journal-of-psychiatry-and-neuroscience,633996,0.064,,
870,journal-of-raman-spectroscopy,632245,0.064,,
871,journal-of-reconstructive-microsurgery,633996,0.064,,
872,journal-of-retailing,633996,0.064,,
873,journal-of-rheumatology,633996,0.064,,
874,journal-of-roman-archaeology-a,633996,0.064,,
875,journal-of-roman-archaeology-b,633996,0.064,,
876,journal-of-science-and-medicine-in-sport,633996,0.064,,
877,journal-of-separation-science,633996,0.064,,
878,journal-of-shoulder-and-elbow-surgery,633996,0.064,,
879,journal-of-simulation,633996,0.064,,
880,journal-of-sleep-research,633996,0.064,,
881,journal-of-social-philosophy,633996,0.064,,
882,journal-of-sport-and-health-science,633996,0.064,,
883,journal-of-strength-and-conditioning-research,633996,0.064,,
884,journal-of-structural-geology,633996,0.064,,
885,journal-of-studies-on-alcohol-and-drugs,633996,0.064,,
886,journal-of-surgery-and-medicine,633996,0.064,,
887,journal-of-systematic-palaeontology,633996,0.064,,
888,journal-of-the-air-and-waste-management-association,633996,0.064,,
889,journal-of-the-american-academy-of-audiology,633996,0.064,,
890,journal-of-the-american-academy-of-orthopaedic-surgeons,633996,0.064,,
891,journal-of-the-american-association-of-laboratory-animal-science,633996,0.064,,
892,journal-of-the-american-ceramic-society,633996,0.064,,
893,journal-of-the-american-college-of-cardiology,633996,0.064,,
894,journal-of-the-american-college-of-surgeons,633996,0.064,,
895,journal-of-the-american-heart-association,633996,0.064,,
896,journal-of-the-american-society-of-brewing-chemists,633527,0.064,,
897,journal-of-the-american-society-of-nephrology,633996,0.064,,
898,journal-of-the-american-water-resources-association,633996,0.064,,
899,journal-of-the-association-for-information-systems,633996,0.064,,
900,journal-of-the-association-of-environmental-and-resource-economists,633996,0.064,,
901,journal-of-the-brazilian-chemical-society,633996,0.064,,
902,journal-of-the-electrochemical-society,633996,0.064,,
903,journal-of-the-korean-society-of-civil-engineers,633996,0.064,,
904,journal-of-the-marine-biological-association-of-the-united-kingdom,633996,0.064,,
905,journal-of-the-royal-anthropological-institute,633996,0.064,,
906,journal-of-the-south-african-veterinary-association,633996,0.064,,
907,journal-of-thermal-spray-technology,633996,0.064,,
908,journal-of-thrombosis-and-haemostasis,633996,0.064,,
909,journal-of-tropical-ecology,633996,0.064,,
910,journal-of-tropical-life-science,633996,0.064,,
911,journal-of-universal-computer-science,633996,0.064,,
912,journal-of-urban-and-environmental-engineering,633996,0.064,,
913,journal-of-vegetation-science,633996,0.064,,
914,journal-of-vertebrate-paleontology,633996,0.064,,
915,journal-of-veterinary-diagnostic-investigation,633996,0.064,,
916,journal-of-visualized-experiments,633996,0.064,,
917,journal-of-water-sanitation-and-hygiene-for-development,633996,0.064,,
918,journal-of-zoo-and-wildlife-medicine,633996,0.064,,
919,journal-of-zoo-biology,633996,0.064,,
920,journal-of-zoology,633996,0.064,,
921,journal-on-efficiency-and-responsibility-in-education-and-science,633996,0.064,,
922,juristische-zitierweise-schweizer,633996,0.064,,
923,juristische-zitierweise,633996,0.064,,
924,jurnal-pangan-dan-agroindustri,633996,0.064,,
925,karger-journals-author-date,633996,0.064,,
926,karger-journals,633996,0.064,,
927,kidney-international,633996,0.064,,
928,kidney-research-and-clinical-practice,633996,0.064,,
929,kindheit-und-entwicklung,633996,0.064,,
930,knee-surgery-sports-traumatology-arthroscopy,633996,0.064,,
931,kolner-zeitschrift-fur-soziologie-und-sozialpsychologie,633996,0.064,,
932,korean-journal-of-anesthesiology,633996,0.064,,
933,kritische-ausgabe,633996,0.064,,
934,ksce-journal-of-civil-engineering,633996,0.064,,
935,kth-royal-institute-of-technology-school-of-computer-science-and-communication-sv,633996,0.064,,
936,kth-royal-institute-of-technology-school-of-computer-science-and-communication,633996,0.064,,
937,l-homme,633996,0.064,,
938,land-degradation-and-development,633996,0.064,,
939,landes-bioscience-journals,633996,0.064,,
940,language-in-society,633996,0.064,,
941,language,633996,0.064,,
942,lannee-sociologique,633996,0.064,,
943,laser-and-photonics-reviews,633996,0.064,,
944,latin-american-perspectives,633996,0.064,,
945,latin-american-research-review,633996,0.064,,
946,law-and-society-review,633996,0.064,,
947,lcgc,633996,0.064,,
948,leidraad-voor-juridische-auteurs,633996,0.064,,
949,les-journees-de-la-recherche-avicole,633996,0.064,,
950,les-journees-de-la-recherche-porcine,633996,0.064,,
951,lethaia,633996,0.064,,
952,letters-in-applied-microbiology,633996,0.064,,
953,lettres-et-sciences-humaines-fr,633996,0.064,,
954,leviathan,633996,0.064,,
955,limnetica,633996,0.064,,
956,limnology-and-oceanography,633996,0.064,,
957,liver-international,633996,0.064,,
958,lluelles-no-ibid,633996,0.064,,
959,lluelles,633996,0.064,,
960,london-metropolitan-university-harvard,633996,0.064,,
961,london-south-bank-university-numeric,633996,0.064,,
962,lund-university-school-of-economics-and-management,633996,0.064,,
963,macromolecular-reaction-engineering,633996,0.064,,
964,magnetic-resonance-in-medicine,633996,0.064,,
965,maison-de-l-orient-et-de-la-mediterranee,633996,0.064,,
966,mammal-review,633996,0.064,,
967,management-et-avenir,633996,0.064,,
968,management-international,633996,0.064,,
969,mastozoologia-neotropical,633996,0.064,,
970,mathematics-and-computers-in-simulation,633996,0.064,,
971,mcdonald-institute-monographs,633996,0.064,,
972,mcgill-en,633996,0.064,,
973,mcgill-fr,633996,0.064,,
974,medecine-sciences,633996,0.064,,
975,media-culture-and-society,633996,0.064,,
976,medical-dosimetry,633996,0.064,,
977,medical-physics,633996,0.064,,
978,medicina-clinica,633996,0.064,,
979,medicinal-research-reviews,633985,0.064,,
980,medicine-and-science-in-sports-and-exercise,633996,0.064,,
981,mediterranean-journal-of-infection-microbes-and-antimicrobials,633996,0.064,,
982,mediterranean-politics,633996,0.064,,
983,melbourne-school-of-theology,633996,0.064,,
984,memorias-do-instituto-oswaldo-cruz,633996,0.064,,
985,metallurgical-and-materials-transactions-a,632245,0.064,,
986,metallurgical-and-materials-transactions,633996,0.064,,
987,meteoritics-and-planetary-science,633996,0.064,,
988,meteorological-applications,633996,0.064,,
989,methods-in-ecology-and-evolution,633996,0.064,,
990,methods-of-information-in-medicine,633996,0.064,,
991,microbial-drug-resistance,633996,0.064,,
992,microbiology-society,633996,0.064,,
993,microscopy-and-microanalysis,633996,0.064,,
994,mimesis-edizioni,633996,0.064,,
995,mind-and-language,633996,0.064,,
996,mineralogical-magazine,633996,0.064,,
997,mis-quarterly,633996,0.064,,
998,modern-humanities-research-association-author-date,633996,0.064,,
999,modern-humanities-research-association,633996,0.064,,
1000,modern-language-association-6th-edition-note,633996,0.064,,
1001,modern-language-association-7th-edition-underline,633996,0.064,,
1002,modern-language-association-7th-edition-with-url,633996,0.064,,
1003,modern-language-association-7th-edition,633996,0.064,,
1004,modern-language-association,633996,0.064,,
1005,modern-pathology,633996,0.064,,
1006,modern-phytomorphology,633996,0.064,,
1007,molecular-and-cellular-proteomics,633996,0.064,,
1008,molecular-biology-and-evolution,633996,0.064,,
1009,molecular-biology-of-the-cell,633996,0.064,,
1010,molecular-metabolism,633996,0.064,,
1011,molecular-microbiology,633996,0.064,,
1012,molecular-oncology,633996,0.064,,
1013,molecular-plant-microbe-interactions,633996,0.064,,
1014,molecular-plant-pathology,633996,0.064,,
1015,molecular-plant,633996,0.064,,
1016,molecular-psychiatry-letters,633996,0.064,,
1017,molecular-therapy,633996,0.064,,
1018,monash-university-harvard,633996,0.064,,
1019,mondes-en-developpement,633996,0.064,,
1020,moore-theological-college,633996,0.064,,
1021,moorlands-college,633996,0.064,,
1022,multidisciplinary-digital-publishing-institute,633996,0.064,,
1023,multiple-sclerosis-journal,633996,0.064,,
1024,music-theory-spectrum,633996,0.064,,
1025,mutagenesis,633996,0.064,,
1026,mycologia,633996,0.064,,
1027,myrmecological-news,633996,0.064,,
1028,nano-biomedicine-and-engineering,633996,0.064,,
1029,national-archives-of-australia,633509,0.064,,
1030,national-institute-of-health-research,633996,0.064,,
1031,national-institute-of-technology-karnataka,633996,0.064,,
1032,national-library-of-medicine-grant-proposals,633996,0.064,,
1033,national-natural-science-foundation-of-china,633996,0.064,,
1034,national-science-foundation-grant-proposals,633996,0.064,,
1035,national-university-of-singapore-department-of-geography-harvard,633996,0.064,,
1036,natur-und-landschaft,633996,0.064,,
1037,nature-neuroscience-brief-communications,633996,0.064,,
1038,nature-no-et-al,633996,0.064,,
1039,nature-no-superscript,633996,0.064,,
1040,nature-publishing-group-vancouver,633996,0.064,,
1041,nature,633996,0.064,,
1042,natures-sciences-societes,633996,0.064,,
1043,navigation,633996,0.064,,
1044,nccr-mediality,633996,0.064,,
1045,nehet,633996,0.064,,
1046,nephrology-dialysis-transplantation,633996,0.064,,
1047,neural-plasticity,633996,0.064,,
1048,neuroendocrinology-letters,633996,0.064,,
1049,neuroimaging-clinics-of-north-america,633996,0.064,,
1050,neurologia-argentina,633996,0.064,,
1051,neurologia,633996,0.064,,
1052,neurology-india,633996,0.064,,
1053,neurology,633996,0.064,,
1054,neurorehabilitation-and-neural-repair,633996,0.064,,
1055,neuroreport,633996,0.064,,
1056,neurosurgery-clinics-of-north-america,633996,0.064,,
1057,new-harts-rules-the-oxford-style-guide,633996,0.064,,
1058,new-phytologist,633996,0.064,,
1059,new-solutions,633996,0.064,,
1060,new-testament-studies,633996,0.064,,
1061,new-zealand-dental-journal,633996,0.064,,
1062,new-zealand-plant-protection,633996,0.064,,
1063,new-zealand-veterinary-journal,633996,0.064,,
1064,nordic-pulp-and-paper-research-journal,633996,0.064,,
1065,norma-portuguesa-405,633996,0.064,,
1066,northeastern-naturalist,633996,0.064,,
1067,nottingham-trent-university-library-harvard,633996,0.064,,
1068,nowa-audiofonologia,633996,0.064,,
1069,nuclear-receptor-signaling,633996,0.064,,
1070,nucleic-acids-research-web-server-issue,633996,0.064,,
1071,nucleic-acids-research,633996,0.064,,
1072,obafemi-awolowo-university-faculty-of-technology,633996,0.064,,
1073,obesity,633996,0.064,,
1074,obstetrics-and-gynecology-science,633996,0.064,,
1075,occupational-medicine,633996,0.064,,
1076,oceanography,633996,0.064,,
1077,oecologia-australis,633996,0.064,,
1078,oikos,633996,0.064,,
1079,oncoimmunology,633996,0.064,,
1080,oncotarget,633996,0.064,,
1081,onderstepoort-journal-of-veterinary-research,633996,0.064,,
1082,ophthalmology-retina,633996,0.064,,
1083,ophthalmology,633996,0.064,,
1084,optics-express,633996,0.064,,
1085,optometry-and-vision-science,633996,0.064,,
1086,oral-diseases,633996,0.064,,
1087,organic-geochemistry,633996,0.064,,
1088,ornitologia-neotropical,633996,0.064,,
1089,orthopedic-clinics-of-north-america,633996,0.064,,
1090,oryx,633996,0.064,,
1091,oscola-no-ibid,633996,0.064,,
1092,oscola,633996,0.064,,
1093,osterreichische-zeitschrift-fur-politikwissenschaft,633996,0.064,,
1094,otto-von-guricke-universitat-magdeburg-medizinische-fakultat-numeric,633996,0.064,,
1095,owbarth-verlag,633985,0.064,,
1096,oxford-centre-for-mission-studies-harvard,633996,0.064,,
1097,oxford-studies-in-ancient-philosophy,633996,0.064,,
1098,oxford-studies-on-the-roman-economy,633996,0.064,,
1099,oxford-the-university-of-new-south-wales,633996,0.064,,
1100,oxford-university-press-humsoc,633996,0.064,,
1101,oxford-university-press-scimed-author-date,633996,0.064,,
1102,oxford-university-press-scimed-numeric,633996,0.064,,
1103,oxidation-of-metals,633996,0.064,,
1104,padagogische-hochschule-fachhochschule-nordwestschweiz,633996,0.064,,
1105,padagogische-hochschule-heidelberg,633996,0.064,,
1106,padagogische-hochschule-vorarlberg,633996,0.064,,
1107,paediatric-and-perinatal-epidemiology,633996,0.064,,
1108,pain,633996,0.064,,
1109,pakistani-veterinary-journal,633996,0.064,,
1110,palaeontographica-abteilung-b-palaeobotany-palaeophytology,633996,0.064,,
1111,palaeontologia-electronica,633996,0.064,,
1112,palaeontology,633996,0.064,,
1113,palaeovertebrata,633996,0.064,,
1114,palaios,633996,0.064,,
1115,paleobiology,633996,0.064,,
1116,parasitology,633996,0.064,,
1117,pediatric-allergy-and-immunology,633996,0.064,,
1118,pediatric-anesthesia,633996,0.064,,
1119,pediatric-blood-and-cancer,633996,0.064,,
1120,pediatric-physical-therapy,633996,0.064,,
1121,pediatric-research,633996,0.064,,
1122,peerj,633996,0.064,,
1123,periodicum-biologorum,633996,0.064,,
1124,periodontology-2000,633996,0.064,,
1125,permafrost-and-periglacial-processes,633996,0.064,,
1126,perspectives-on-politics,633996,0.064,,
1127,perspectives-on-sexual-and-reproductive-health,633996,0.064,,
1128,pest-management-science,633996,0.064,,
1129,petit-chicago-author-date,633996,0.064,,
1130,pharmacoepidemiology-and-drug-safety,633996,0.064,,
1131,philippika,633996,0.064,,
1132,philipps-universitat-marburg-note,633996,0.064,,
1133,philosophia-scientiae,633996,0.064,,
1134,phycological-research,633996,0.064,,
1135,phyllomedusa,633996,0.064,,
1136,physiological-and-biochemical-zoology,633996,0.064,,
1137,planning-practice-and-research,633996,0.064,,
1138,plant-and-cell-physiology,633996,0.064,,
1139,plant-biology,633996,0.064,,
1140,plant-biotechnology-journal,633996,0.064,,
1141,plant-cell-and-environment,633996,0.064,,
1142,plant-pathology,633996,0.064,,
1143,plos,633996,0.064,,
1144,pnas,633996,0.064,,
1145,podzemna-voda,633996,0.064,,
1146,polish-legal,633996,0.064,,
1147,political-studies,633996,0.064,,
1148,politische-vierteljahresschrift,633996,0.064,,
1149,polymer-reviews,633996,0.064,,
1150,pontifical-athenaeum-regina-apostolorum,633996,0.064,,
1151,pontifical-biblical-institute,633519,0.064,,
1152,pontifical-gregorian-university,633522,0.064,,
1153,population-space-and-place,633996,0.064,,
1154,population,633996,0.064,,
1155,poultry-science,633996,0.064,,
1156,prehospital-emergency-care,633996,0.064,,
1157,preslia,633996,0.064,,
1158,primary-care-clinics-in-office-practice,633996,0.064,,
1159,proceedings-of-the-royal-society-b,633996,0.064,,
1160,proinflow,633996,0.064,,
1161,protein-engineering-design-and-selection,633996,0.064,,
1162,protein-science,633996,0.064,,
1163,proteomics,633996,0.064,,
1164,psychiatric-clinics-of-north-america,633996,0.064,,
1165,psychiatric-services,633996,0.064,,
